HR.info ID,Preferred Term,Operation,Location - Taxonomy Term,"Address (free text to include building name/number, street & Postcode)",Address - Locality (i.e. City),Address - Administrative area (i.e. State / Province),Country,Generic Phone Number for site,Generic Email for site,Organization,Notes
5407,Addis Ababa,65 - Ethiopia,Addis Ababa,"ECA, 4th Foor, UNOCHA - Coordination Unit  60252",Addis Ababa,,71 - Ethiopia,"+251 91 250 2691
",petit1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5408,Afar,65 - Ethiopia,Afar,Semera  60252,Semera,,71 - Ethiopia,"+251 91 103 3035
",mengistu1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5409,Amhara (Addis Based),65 - Ethiopia,Addis Ababa,Addis Ababa  60252,Addis Ababa,,71 - Ethiopia,"+251 91 114 1917
",hadgu1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5410,Gambella/ Beneshangul Gumuz,65 - Ethiopia,Gambela,  ,,,71 - Ethiopia,"+251 47 551 0075
, +251 47 551 0243
",agid@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5411,Gode,65 - Ethiopia,Somali,  ,Gode,,71 - Ethiopia,"+251 91 379 0451
",chilundam@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5412,Jijiga,65 - Ethiopia,Somali,  ,Jijiga,,71 - Ethiopia,"+251 25 774 0864
",omerf@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5413,Kebridahar,65 - Ethiopia,Korahe,  ,Kebridahar,,71 - Ethiopia,"+251 91 155 0047
",jallohh@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5414,Oromia (Addis Based),65 - Ethiopia,Addis Ababa,Addis Ababa  ,Addis Ababa,,71 - Ethiopia,"Mobile: 
+251 91 147 3875
",tamirul@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
5415,SNNPR,65 - Ethiopia,SNNPR,Hawassa  ,Hawassa,,71 - Ethiopia,"+251 91 113 9163
",andargie@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7117,Baidoa,68 - Somalia,Baydhaba,UNICEF Compund  0,Baidoa,Baidoa,205 - Somalia,"+252 699 770046
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7118,Bakool,68 - Somalia,Bakool,Bakool  Bakool,Bakool,Bakool,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7119,Banadir,68 - Somalia,Banadir,Banadir  0,Banadir,Banadir,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7120,Bay,68 - Somalia,Bay,Bay  0,Bay,Bay,205 - Somalia,"+254 20 4002414
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7121,Bossaso,68 - Somalia,Bossaso,UNHCR Compund  0,Bossaso,Bossaso,205 - Somalia,"+252 5 829346
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7122,Dollow,68 - Somalia,Gedo,UNHCR Compund  0,Dollow,Dollow,205 - Somalia,"+252 61 6156533
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7123,Galgaduud,68 - Somalia,Galgaduud,Galgaduud  0,Galgaduud,Galgaduud,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7124,Galkacyo,68 - Somalia,Gaalkacyo,UNHCR Compund  0,Gaalkacyo,Gaalkacyo,205 - Somalia,"+252 90791808
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7125,Garowe,68 - Somalia,Nugaal,Garowe UNCC  0,Garowe,Garowe,205 - Somalia,"+252 90793816
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7126,Gedo,68 - Somalia,Gedo,Gedo  0,Gedo,Gedo,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7127,Hargeysa,68 - Somalia,Hargeysa,UNCC  0,Hargeysa,Hargeysa,205 - Somalia,"+252 2 525504
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7128,Hiraan,68 - Somalia,Hiraan,Hiraan  0,Hiraan,Hiraan,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
7129,Lower Juba,68 - Somalia,Lower Juba,Lower Juba  0,Lower Juba,Lower Juba,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,
